idPermiso,nombre,permisos,estado,fecha_registro
1,Administrador,"a:26:{s:8:""cUsuario"";s:1:""1"";s:8:""cPermiso"";s:1:""1"";s:8:""cConsola"";s:1:""1"";s:7:""cBackup"";s:1:""1"";s:8:""vMaquina"";s:1:""1"";s:8:""eMaquina"";s:1:""1"";s:8:""dMaquina"";s:1:""1"";s:8:""cMaquina"";s:1:""1"";s:7:""vFallas"";s:1:""1"";s:7:""eFallas"";s:1:""1"";s:7:""dFallas"";s:1:""1"";s:7:""cFallas"";s:1:""1"";s:10:""vArticulos"";s:1:""1"";s:10:""eArticulos"";s:1:""1"";s:10:""dArticulos"";s:1:""1"";s:10:""cArticulos"";s:1:""1"";s:11:""vCategorias"";s:1:""1"";s:11:""eCategorias"";s:1:""1"";s:11:""dCategorias"";s:1:""1"";s:11:""cCategorias"";s:1:""1"";s:7:""vTicket"";s:1:""1"";s:7:""cTicket"";s:1:""1"";s:12:""vLaboratorio"";s:1:""1"";s:9:""vManuales"";s:1:""1"";s:14:""vImporMaquinas"";s:1:""1"";s:13:""vRep_maquinas"";s:1:""1"";}",1,2014-09-03
2,Sistemas,"a:26:{s:8:""cUsuario"";s:1:""1"";s:8:""cPermiso"";s:1:""1"";s:8:""cConsola"";s:1:""1"";s:7:""cBackup"";s:1:""1"";s:8:""vMaquina"";s:1:""1"";s:8:""eMaquina"";N;s:8:""dMaquina"";N;s:8:""cMaquina"";s:1:""1"";s:7:""vFallas"";s:1:""1"";s:7:""eFallas"";s:1:""1"";s:7:""dFallas"";N;s:7:""cFallas"";s:1:""1"";s:10:""vArticulos"";s:1:""1"";s:10:""eArticulos"";N;s:10:""dArticulos"";N;s:10:""cArticulos"";s:1:""1"";s:11:""vCategorias"";s:1:""1"";s:11:""eCategorias"";s:1:""1"";s:11:""dCategorias"";N;s:11:""cCategorias"";s:1:""1"";s:7:""vTicket"";s:1:""1"";s:7:""cTicket"";s:1:""1"";s:12:""vLaboratorio"";s:1:""1"";s:9:""vManuales"";s:1:""1"";s:14:""vImporMaquinas"";s:1:""1"";s:13:""vRep_maquinas"";s:1:""1"";}",1,2018-01-22
3,"Tecnico de Sala","a:26:{s:8:""cUsuario"";N;s:8:""cPermiso"";N;s:8:""cConsola"";N;s:7:""cBackup"";N;s:8:""vMaquina"";s:1:""1"";s:8:""eMaquina"";N;s:8:""dMaquina"";N;s:8:""cMaquina"";N;s:7:""vFallas"";s:1:""1"";s:7:""eFallas"";N;s:7:""dFallas"";N;s:7:""cFallas"";N;s:10:""vArticulos"";N;s:10:""eArticulos"";N;s:10:""dArticulos"";N;s:10:""cArticulos"";N;s:11:""vCategorias"";N;s:11:""eCategorias"";N;s:11:""dCategorias"";N;s:11:""cCategorias"";N;s:7:""vTicket"";s:1:""1"";s:7:""cTicket"";s:1:""1"";s:12:""vLaboratorio"";N;s:9:""vManuales"";N;s:14:""vImporMaquinas"";N;s:13:""vRep_maquinas"";N;}",1,2018-01-22
6,testeo,"a:12:{s:8:""cUsuario"";s:1:""1"";s:8:""cPermiso"";s:1:""1"";s:8:""cConsola"";s:1:""1"";s:7:""cBackup"";s:1:""1"";s:8:""vMaquina"";s:1:""1"";s:8:""eMaquina"";s:1:""1"";s:8:""dMaquina"";s:1:""1"";s:8:""cMaquina"";s:1:""1"";s:7:""vFallas"";s:1:""1"";s:7:""eFallas"";s:1:""1"";s:7:""dFallas"";s:1:""1"";s:7:""cFallas"";s:1:""1"";}",0,2018-02-19
7,limpieza,"a:12:{s:8:""cUsuario"";s:1:""1"";s:8:""cPermiso"";s:1:""1"";s:8:""cConsola"";s:1:""1"";s:7:""cBackup"";s:1:""1"";s:8:""vMaquina"";s:1:""1"";s:8:""eMaquina"";s:1:""1"";s:8:""dMaquina"";s:1:""1"";s:8:""cMaquina"";s:1:""1"";s:7:""vFallas"";s:1:""1"";s:7:""eFallas"";s:1:""1"";s:7:""dFallas"";s:1:""1"";s:7:""cFallas"";s:1:""1"";}",0,2018-02-19
8,caja,"a:16:{s:8:""cUsuario"";s:1:""1"";s:8:""cPermiso"";s:1:""1"";s:8:""cConsola"";s:1:""1"";s:7:""cBackup"";s:1:""1"";s:8:""vMaquina"";s:1:""1"";s:8:""eMaquina"";s:1:""1"";s:8:""dMaquina"";s:1:""1"";s:8:""cMaquina"";s:1:""1"";s:7:""vFallas"";s:1:""1"";s:7:""eFallas"";s:1:""1"";s:7:""dFallas"";s:1:""1"";s:7:""cFallas"";s:1:""1"";s:7:""vTicket"";s:1:""1"";s:7:""eTicket"";s:1:""1"";s:7:""dTicket"";s:1:""1"";s:7:""cTicket"";s:1:""1"";}",0,2018-02-26
9,"Caja 2","a:26:{s:8:""cUsuario"";N;s:8:""cPermiso"";N;s:8:""cConsola"";N;s:7:""cBackup"";N;s:8:""vMaquina"";N;s:8:""eMaquina"";N;s:8:""dMaquina"";N;s:8:""cMaquina"";N;s:7:""vFallas"";N;s:7:""eFallas"";N;s:7:""dFallas"";N;s:7:""cFallas"";N;s:10:""vArticulos"";N;s:10:""eArticulos"";N;s:10:""dArticulos"";N;s:10:""cArticulos"";N;s:11:""vCategorias"";N;s:11:""eCategorias"";N;s:11:""dCategorias"";N;s:11:""cCategorias"";N;s:7:""vTicket"";N;s:7:""cTicket"";N;s:12:""vLaboratorio"";N;s:9:""vManuales"";N;s:14:""vImporMaquinas"";N;s:13:""vRep_maquinas"";N;}",0,2018-02-26
10,"Jefe Tecnico","a:26:{s:8:""cUsuario"";s:1:""1"";s:8:""cPermiso"";s:1:""1"";s:8:""cConsola"";s:1:""1"";s:7:""cBackup"";s:1:""1"";s:8:""vMaquina"";s:1:""1"";s:8:""eMaquina"";N;s:8:""dMaquina"";N;s:8:""cMaquina"";s:1:""1"";s:7:""vFallas"";s:1:""1"";s:7:""eFallas"";s:1:""1"";s:7:""dFallas"";N;s:7:""cFallas"";s:1:""1"";s:10:""vArticulos"";s:1:""1"";s:10:""eArticulos"";N;s:10:""dArticulos"";N;s:10:""cArticulos"";N;s:11:""vCategorias"";s:1:""1"";s:11:""eCategorias"";N;s:11:""dCategorias"";N;s:11:""cCategorias"";N;s:7:""vTicket"";s:1:""1"";s:7:""cTicket"";s:1:""1"";s:12:""vLaboratorio"";s:1:""1"";s:9:""vManuales"";s:1:""1"";s:14:""vImporMaquinas"";s:1:""1"";s:13:""vRep_maquinas"";s:1:""1"";}",1,2018-03-29
11,"Referente Tecnico","a:26:{s:8:""cUsuario"";N;s:8:""cPermiso"";N;s:8:""cConsola"";N;s:7:""cBackup"";N;s:8:""vMaquina"";s:1:""1"";s:8:""eMaquina"";N;s:8:""dMaquina"";N;s:8:""cMaquina"";N;s:7:""vFallas"";s:1:""1"";s:7:""eFallas"";s:1:""1"";s:7:""dFallas"";N;s:7:""cFallas"";s:1:""1"";s:10:""vArticulos"";N;s:10:""eArticulos"";N;s:10:""dArticulos"";N;s:10:""cArticulos"";N;s:11:""vCategorias"";N;s:11:""eCategorias"";N;s:11:""dCategorias"";N;s:11:""cCategorias"";N;s:7:""vTicket"";s:1:""1"";s:7:""cTicket"";s:1:""1"";s:12:""vLaboratorio"";N;s:9:""vManuales"";s:1:""1"";s:14:""vImporMaquinas"";N;s:13:""vRep_maquinas"";s:1:""1"";}",1,2018-06-05
12,"Jefe de Sala","a:26:{s:8:""cUsuario"";N;s:8:""cPermiso"";N;s:8:""cConsola"";N;s:7:""cBackup"";N;s:8:""vMaquina"";s:1:""1"";s:8:""eMaquina"";N;s:8:""dMaquina"";N;s:8:""cMaquina"";N;s:7:""vFallas"";N;s:7:""eFallas"";N;s:7:""dFallas"";N;s:7:""cFallas"";N;s:10:""vArticulos"";N;s:10:""eArticulos"";N;s:10:""dArticulos"";N;s:10:""cArticulos"";N;s:11:""vCategorias"";N;s:11:""eCategorias"";N;s:11:""dCategorias"";N;s:11:""cCategorias"";N;s:7:""vTicket"";N;s:7:""cTicket"";N;s:12:""vLaboratorio"";N;s:9:""vManuales"";s:1:""1"";s:14:""vImporMaquinas"";N;s:13:""vRep_maquinas"";s:1:""1"";}",1,2018-06-05
13,"Marketing Sala","a:26:{s:8:""cUsuario"";N;s:8:""cPermiso"";N;s:8:""cConsola"";N;s:7:""cBackup"";N;s:8:""vMaquina"";s:1:""1"";s:8:""eMaquina"";N;s:8:""dMaquina"";N;s:8:""cMaquina"";N;s:7:""vFallas"";N;s:7:""eFallas"";N;s:7:""dFallas"";N;s:7:""cFallas"";N;s:10:""vArticulos"";N;s:10:""eArticulos"";N;s:10:""dArticulos"";N;s:10:""cArticulos"";N;s:11:""vCategorias"";N;s:11:""eCategorias"";N;s:11:""dCategorias"";N;s:11:""cCategorias"";N;s:7:""vTicket"";s:1:""1"";s:7:""cTicket"";s:1:""1"";s:12:""vLaboratorio"";N;s:9:""vManuales"";s:1:""1"";s:14:""vImporMaquinas"";N;s:13:""vRep_maquinas"";N;}",1,2018-06-05
14,"Tecnico de Laboratorio","a:26:{s:8:""cUsuario"";N;s:8:""cPermiso"";N;s:8:""cConsola"";N;s:7:""cBackup"";N;s:8:""vMaquina"";s:1:""1"";s:8:""eMaquina"";s:1:""1"";s:8:""dMaquina"";N;s:8:""cMaquina"";N;s:10:""vArticulos"";N;s:10:""eArticulos"";N;s:10:""dArticulos"";N;s:10:""cArticulos"";N;s:11:""vCategorias"";N;s:11:""eCategorias"";N;s:11:""dCategorias"";N;s:11:""cCategorias"";N;s:7:""vFallas"";s:1:""1"";s:7:""eFallas"";N;s:7:""dFallas"";N;s:7:""cFallas"";N;s:7:""vTicket"";s:1:""1"";s:7:""cTicket"";s:1:""1"";s:12:""vLaboratorio"";s:1:""1"";s:9:""vManuales"";N;s:14:""vImporMaquinas"";N;s:13:""vRep_maquinas"";N;}",1,2018-06-19
